Id,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,MoSold,YrSold,SalePrice
1,8450,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2003,Gable,PConc,856,GasA,Y,SBrkr,1710,2,1,3,1,Gd,8,0,Attchd,548,2,2008,208500
2,9600,Pave,Reg,Lvl,AllPub,Veenker,1Fam,1Story,6,8,1976,Gable,CBlock,1262,GasA,Y,SBrkr,1262,2,0,3,1,TA,6,1,Attchd,460,5,2007,181500
3,11250,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2001,Gable,PConc,920,GasA,Y,SBrkr,1786,2,1,3,1,Gd,6,1,Attchd,608,9,2008,223500
4,9550,Pave,IR1,Lvl,AllPub,Crawfor,1Fam,2Story,7,5,1915,Gable,BrkTil,756,GasA,Y,SBrkr,1717,1,0,3,1,Gd,7,1,Detchd,642,2,2006,140000
5,14260,Pave,IR1,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,2000,Gable,PConc,1145,GasA,Y,SBrkr,2198,2,1,4,1,Gd,9,1,Attchd,836,12,2008,250000
6,14115,Pave,IR1,Lvl,AllPub,Mitchel,1Fam,1.5Fin,5,5,1993,Gable,Wood,796,GasA,Y,SBrkr,1362,1,1,1,1,TA,5,0,Attchd,480,10,2009,143000
7,10084,Pave,Reg,Lvl,AllPub,Somerst,1Fam,1Story,8,5,2004,Gable,PConc,1686,GasA,Y,SBrkr,1694,2,0,3,1,Gd,7,1,Attchd,636,8,2007,307000
8,10382,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,2Story,7,6,1973,Gable,CBlock,1107,GasA,Y,SBrkr,2090,2,1,3,1,TA,7,2,Attchd,484,11,2009,200000
9,6120,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1.5Fin,7,5,1931,Gable,BrkTil,952,GasA,Y,FuseF,1774,2,0,2,2,TA,8,2,Detchd,468,4,2008,129900
10,7420,Pave,Reg,Lvl,AllPub,BrkSide,2fmCon,1.5Unf,5,6,1939,Gable,BrkTil,991,GasA,Y,SBrkr,1077,1,0,2,2,TA,5,2,Attchd,205,1,2008,118000
11,11200,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,1Story,5,5,1965,Hip,CBlock,1040,GasA,Y,SBrkr,1040,1,0,3,1,TA,5,0,Detchd,384,2,2008,129500
12,11924,Pave,IR1,Lvl,AllPub,NridgHt,1Fam,2Story,9,5,2005,Hip,PConc,1175,GasA,Y,SBrkr,2324,3,0,4,1,Ex,11,2,BuiltIn,736,7,2006,345000
13,12968,Pave,IR2,Lvl,AllPub,Sawyer,1Fam,1Story,5,6,1962,Hip,CBlock,912,GasA,Y,SBrkr,912,1,0,2,1,TA,4,0,Detchd,352,9,2008,144000
14,10652,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,2006,Gable,PConc,1494,GasA,Y,SBrkr,1494,2,0,3,1,Gd,7,1,Attchd,840,8,2007,279500
15,10920,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1960,Hip,CBlock,1253,GasA,Y,SBrkr,1253,1,1,2,1,TA,5,1,Attchd,352,5,2008,157000
16,6120,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Unf,7,8,1929,Gable,BrkTil,832,GasA,Y,FuseA,854,1,0,2,1,TA,5,0,Detchd,576,7,2007,132000
17,11241,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1970,Gable,CBlock,1004,GasA,Y,SBrkr,1004,1,0,2,1,TA,5,1,Attchd,480,3,2010,149000
18,10791,Pave,Reg,Lvl,AllPub,Sawyer,Duplex,1Story,4,5,1967,Gable,Slab,0,GasA,Y,SBrkr,1296,2,0,2,2,TA,6,0,CarPort,516,10,2006,90000
19,13695,Pave,Reg,Lvl,AllPub,SawyerW,1Fam,1Story,5,5,2004,Gable,PConc,1114,GasA,Y,SBrkr,1114,1,1,3,1,Gd,6,0,Detchd,576,6,2008,159000
20,7560,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1958,Hip,CBlock,1029,GasA,Y,SBrkr,1339,1,0,3,1,TA,6,0,Attchd,294,5,2009,139000
21,14215,Pave,IR1,Lvl,AllPub,NridgHt,1Fam,2Story,8,5,2005,Gable,PConc,1158,GasA,Y,SBrkr,2376,3,1,4,1,Gd,9,1,BuiltIn,853,11,2006,325300
22,7449,Pave,Reg,Bnk,AllPub,IDOTRR,1Fam,1.5Unf,7,7,1930,Gable,PConc,637,GasA,Y,FuseF,1108,1,0,3,1,Gd,6,1,Attchd,280,6,2007,139400
23,9742,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,8,5,2002,Hip,PConc,1777,GasA,Y,SBrkr,1795,2,0,3,1,Gd,7,1,Attchd,534,9,2008,230000
24,4224,Pave,Reg,Lvl,AllPub,MeadowV,TwnhsE,1Story,5,7,1976,Gable,PConc,1040,GasA,Y,SBrkr,1060,1,0,3,1,TA,6,1,Attchd,572,6,2007,129900
25,8246,Pave,IR1,Lvl,AllPub,Sawyer,1Fam,1Story,5,8,1968,Gable,CBlock,1060,GasA,Y,SBrkr,1060,1,0,3,1,Gd,6,1,Attchd,270,5,2010,154000
26,14230,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2007,Gable,PConc,1566,GasA,Y,SBrkr,1600,2,0,3,1,Gd,7,1,Attchd,890,7,2009,256300
27,7200,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1951,Gable,CBlock,900,GasA,Y,SBrkr,900,1,0,3,1,Gd,5,0,Detchd,576,5,2010,134800
28,11478,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2007,Gable,PConc,1704,GasA,Y,SBrkr,1704,2,0,3,1,Gd,7,1,Attchd,772,5,2010,306000
29,16321,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1957,Gable,CBlock,1484,GasA,Y,SBrkr,1600,1,0,2,1,TA,6,2,Attchd,319,12,2006,207500
30,6324,Pave,IR1,Lvl,AllPub,BrkSide,1Fam,1Story,4,6,1927,Gable,BrkTil,520,GasA,N,SBrkr,520,1,0,1,1,Fa,4,0,Detchd,240,5,2008,68500
31,8500,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,2Story,4,4,1920,Gambrel,BrkTil,649,GasA,N,SBrkr,1317,1,0,3,1,TA,6,0,Detchd,250,7,2008,40000
32,8544,Pave,IR1,Lvl,AllPub,Sawyer,1Fam,1Story,5,6,1966,Gable,CBlock,1228,GasA,Y,SBrkr,1228,1,1,3,1,Gd,6,0,Attchd,271,6,2008,149350
33,11049,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,8,5,2007,Gable,PConc,1234,GasA,Y,SBrkr,1234,2,0,3,1,Gd,7,0,Attchd,484,1,2008,179900
34,10552,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1959,Hip,CBlock,1398,GasA,Y,SBrkr,1700,1,1,4,1,Gd,6,1,Attchd,447,4,2010,165500
35,7313,Pave,Reg,Lvl,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,Hip,PConc,1561,GasA,Y,SBrkr,1561,2,0,2,1,Ex,6,1,Attchd,556,8,2007,277500
36,13418,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,2Story,8,5,2004,Gable,PConc,1117,GasA,Y,SBrkr,2452,3,1,4,1,Gd,9,1,BuiltIn,691,9,2006,309000
37,10859,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,5,5,1994,Gable,PConc,1097,GasA,Y,SBrkr,1097,1,1,3,1,TA,6,0,Attchd,672,6,2009,145000
38,8532,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1954,Hip,CBlock,1297,GasA,Y,SBrkr,1297,1,0,3,1,TA,5,1,Attchd,498,10,2009,153000
39,7922,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1953,Gable,CBlock,1057,GasA,Y,SBrkr,1057,1,0,3,1,Gd,5,0,Detchd,246,1,2010,109000
40,6040,Pave,Reg,Lvl,AllPub,Edwards,Duplex,1Story,4,5,1955,Gable,PConc,0,GasA,N,FuseP,1152,2,0,2,2,Fa,6,0,NA,0,6,2008,82000
41,8658,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1965,Gable,CBlock,1088,GasA,Y,SBrkr,1324,2,0,3,1,TA,6,1,Attchd,440,12,2006,160000
42,16905,Pave,Reg,Lvl,AllPub,Timber,1Fam,1Story,5,6,1959,Gable,CBlock,1350,GasA,Y,SBrkr,1328,1,1,2,1,TA,5,2,Attchd,308,7,2007,170000
43,9180,Pave,IR1,Lvl,AllPub,SawyerW,1Fam,SFoyer,5,7,1983,Gable,CBlock,840,GasA,Y,SBrkr,884,1,0,2,1,Gd,5,0,Attchd,504,12,2007,144000
44,9200,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,5,6,1975,Hip,CBlock,938,GasA,Y,SBrkr,938,1,0,3,1,TA,5,0,Detchd,308,7,2008,130250
45,7945,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1959,Gable,CBlock,1150,GasA,Y,FuseA,1150,1,0,3,1,TA,6,0,Attchd,300,5,2006,141000
46,7658,Pave,Reg,Lvl,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,Hip,PConc,1752,GasA,Y,SBrkr,1752,2,0,2,1,Ex,6,1,Attchd,576,2,2010,319900
47,12822,Pave,IR1,Lvl,AllPub,Mitchel,1Fam,1.5Fin,7,5,2003,Gable,PConc,1434,GasA,Y,SBrkr,2149,1,1,1,1,Gd,6,1,Attchd,670,8,2009,239686
48,11096,Pave,Reg,Lvl,AllPub,Somerst,1Fam,1Story,8,5,2006,Gable,PConc,1656,GasA,Y,SBrkr,1656,2,0,3,1,Gd,7,0,Attchd,826,7,2007,249700
49,4456,Pave,Reg,Lvl,AllPub,OldTown,2fmCon,2Story,4,5,1920,Gable,BrkTil,736,GasA,Y,SBrkr,1452,2,0,2,3,TA,8,0,NA,0,6,2009,113000
50,7742,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,1Story,5,7,1966,Gable,CBlock,955,GasA,Y,SBrkr,955,1,0,3,1,TA,6,0,Attchd,386,1,2007,127000
51,13869,Pave,IR2,Lvl,AllPub,Gilbert,1Fam,2Story,6,6,1997,Gable,PConc,794,GasA,Y,SBrkr,1470,2,0,3,1,TA,6,0,Attchd,388,7,2007,177000
52,6240,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Fin,6,6,1934,Gable,PConc,816,GasA,Y,SBrkr,1176,1,0,3,1,TA,6,1,Detchd,528,9,2006,114500
53,8472,Grvl,IR2,Bnk,AllPub,IDOTRR,Duplex,1Story,5,5,1963,Gable,CBlock,816,GasA,N,SBrkr,816,1,0,2,1,TA,5,0,CarPort,516,5,2010,110000
54,50271,Pave,IR1,Low,AllPub,Veenker,1Fam,1Story,9,5,1981,Gable,CBlock,1842,GasA,Y,SBrkr,1842,0,1,0,1,Gd,5,1,Attchd,894,11,2006,385000
55,7134,Pave,Reg,Bnk,AllPub,NAmes,1Fam,SLvl,5,5,1955,Gable,CBlock,384,GasA,Y,SBrkr,1360,1,0,3,1,TA,6,1,Detchd,572,2,2007,130000
56,10175,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1964,Gable,CBlock,1425,GasA,Y,SBrkr,1425,2,0,3,1,TA,7,1,Attchd,576,7,2008,180500
57,2645,Pave,Reg,Lvl,AllPub,Somerst,Twnhs,2Story,8,5,1999,Gable,PConc,970,GasA,Y,SBrkr,1739,2,1,3,1,Gd,7,0,Attchd,480,8,2009,172500
58,11645,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2004,Gable,PConc,860,GasA,Y,SBrkr,1720,2,1,3,1,Gd,7,0,Attchd,565,8,2006,196500
59,13682,Pave,IR2,HLS,AllPub,StoneBr,1Fam,2Story,10,5,2006,Hip,PConc,1410,GasA,Y,SBrkr,2945,3,1,3,1,Gd,10,1,BuiltIn,641,10,2006,438780
60,7200,Pave,Reg,Bnk,AllPub,CollgCr,1Fam,1Story,5,7,1972,Gable,CBlock,780,GasA,Y,SBrkr,780,1,0,2,1,TA,4,0,Detchd,352,1,2008,124900
