"no_of_shares","no_of_words_in_title","no_of_words_in_text","no_of_unique_words_in_text","no_of_links","no_of_images","no_of_videos","average_word_length"
593,12,219,0.663594466988,4,1,0,4.6803652968
711,9,255,0.604743080614,3,1,0,4.9137254902
1500,9,211,0.575129530699,3,1,0,4.39336492891
1200,9,531,0.503787877834,9,1,0,4.40489642185
855,10,370,0.559888577828,2,0,0,4.35945945946
3600,11,97,0.670103085875,2,0,0,4.85567010309
710,10,231,0.636363633609,4,1,1,5.09090909091
2200,9,1248,0.490049750837,11,1,0,4.61778846154
1900,10,187,0.666666663082,7,1,0,4.6577540107
1600,12,682,0.459541984031,10,1,0,4.62023460411
598,9,391,0.510256408948,9,1,1,5.29667519182
1500,11,125,0.674796742481,1,1,0,4.824
852,13,244,0.559999997511,3,1,0,4.42213114754
783,8,266,0.572580642852,5,1,0,4.25939849624
1500,8,331,0.562691129778,5,1,0,4.78247734139
462,10,243,0.619246859334,1,0,0,4.38271604938
425,11,723,0.490934448409,18,1,0,5.22821576763
3200,8,708,0.48221906048,8,1,1,4.62005649718
573,10,597,0.531732417613,5,1,0,4.34338358459
3600,8,204,0.586206893664,7,1,0,4.67156862745
343,11,315,0.551282049515,4,1,0,4.38095238095
2600,8,257,0.568093383004,9,0,1,4.63813229572
504,11,799,0.504391467372,8,1,0,4.6958698373
2100,14,194,0.764705878264,4,0,1,4.5206185567
401,6,174,0.691860461094,0,1,0,4.79885057471
575,10,142,0.654676254283,2,1,0,4.27464788732
4900,11,214,0.644549759978,2,0,1,4.65420560748
4600,11,454,0.566079293907,5,1,0,4.88546255507
1600,10,555,0.535390198665,7,1,0,5.14774774775
1100,9,474,0.608602149229,11,1,0,4.75949367089
834,12,238,0.621276593101,3,1,0,4.25630252101
3200,8,403,0.516042779369,3,1,0,4.08188585608
545,7,251,0.615702476795,1,1,1,4.80876494024
1800,11,317,0.611464966206,7,1,0,5.23974763407
1200,12,177,0.741379306084,4,1,0,5.05649717514
732,6,109,0.666666659933,3,1,0,4.73394495413
1200,11,399,0.597989948246,8,1,0,4.57894736842
2800,13,460,0.499999998884,4,1,0,4.46086956522
495,9,443,0.467120180347,3,1,0,5.01354401806
552,6,374,0.640540538809,7,1,0,4.90909090909
4800,9,1226,0.410172272018,10,1,1,4.39396411093
851,10,1121,0.450678732624,15,1,0,4.79036574487
755,12,288,0.589473682142,5,0,0,4.38194444444
468,10,414,0.606796115032,8,1,0,4.9806763285
1300,11,281,0.610714283533,5,1,0,4.60854092527
1200,12,499,0.513026051076,14,1,0,5.08416833667
1200,13,306,0.534653463582,3,1,0,4.57843137255
1700,10,909,0.449612402603,3,1,1,4.34323432343
1100,9,180,0.630057799826,1,0,0,4.36111111111
459,9,759,0.498666666002,17,1,0,4.65744400527
1200,9,142,0.714285709184,3,0,1,4.54225352113
971,10,498,0.534979422768,7,1,0,4.88152610442
1000,12,855,0.438534278441,5,1,0,4.30058479532
1900,11,223,0.662162159179,5,0,0,4.55156950673
1100,11,349,0.583333331597,10,1,0,4.80229226361
2000,9,233,0.552884612727,5,1,0,4.63519313305
705,7,263,0.62307692068,2,0,0,4.3536121673
1900,10,468,0.534216334362,7,1,0,4.52991452991
2300,9,455,0.495594712565,10,1,0,4.69450549451
575,9,81,0.787499990156,2,0,0,4.51851851852
1800,11,308,0.633116881061,8,1,0,4.73376623377
1600,11,235,0.643776821271,5,0,0,5.09787234043
1900,13,141,0.643939389061,6,1,0,4.58865248227
1500,10,261,0.598455596145,12,1,0,5.14942528736
1700,14,318,0.633440512433,7,1,0,4.42767295597
454,9,231,0.635964909491,1,0,0,4.16883116883
2800,10,701,0.480575538877,11,1,1,4.45791726106
412,12,537,0.538175045553,2,1,0,4.98324022346
